eod_summary_id,country_code,store_id,terminal_id,business_date,fiscal_period_key,currency_code,net_sales,tax_collected,cash_variance,paynow_total,duitnow_total,nets_total,sap_transfer_status,supervisor_id,_dq_flag
EOD-MY-001-T01-20241001,MYS,MY-STR-001,TILL-ALL,2024-10-01,MYS-2024-10,MYR,59332.29,3559.98,7.69,0.0,7056.81,0.0,TRANSFERRED,EMP-MY-10010,CLEAN
EOD-MY-002-T01-20241001,MYS,MY-STR-002,TILL-ALL,2024-10-01,MYS-2024-10,MYR,22435.25,1346.09,-14.59,0.0,1242.25,0.0,TRANSFERRED,EMP-MY-10015,CLEAN
EOD-MY-003-T01-20241001,MYS,MY-STR-003,TILL-ALL,2024-10-01,MYS-2024-10,MYR,22773.7,1366.41,-54.05,0.0,1506.01,0.0,TRANSFERRED,EMP-MY-10015,CLEAN
EOD-MY-004-T01-20241001,MYS,MY-STR-004,TILL-ALL,2024-10-01,MYS-2024-10,MYR,19190.19,1151.42,-10.29,0.0,1622.4,0.0,TRANSFERRED,EMP-MY-10019,CLEAN
EOD-MY-005-T01-20241001,MYS,MY-STR-005,TILL-ALL,2024-10-01,MYS-2024-10,MYR,21783.44,1306.98,6.53,0.0,2709.48,0.0,TRANSFERRED,EMP-MY-10022,CLEAN
EOD-MY-006-T01-20241001,MYS,MY-STR-006,TILL-ALL,2024-10-01,MYS-2024-10,MYR,21853.14,1327.89,-65.26,0.0,1891.2,0.0,TRANSFERRED,EMP-MY-10013,CLEAN
EOD-MY-007-T01-20241001,MYS,MY-STR-007,TILL-ALL,2024-10-01,MYS-2024-10,MYR,22969.02,1378.13,-13.33,0.0,1658.17,0.0,TRANSFERRED,EMP-MY-10015,CLEAN
EOD-MY-008-T01-20241001,MYS,MY-STR-008,TILL-ALL,2024-10-01,MYS-2024-10,MYR,17359.72,1041.53,2.6,0.0,1337.21,0.0,TRANSFERRED,EMP-MY-10014,CLEAN
EOD-SG-001-T01-20241001,SGP,SG-STR-001,TILL-ALL,2024-10-01,SGP-2024-10,SGD,19984.29,1798.58,24.68,4870.88,0.0,5533.63,TRANSFERRED,EMP-SG-10040,CLEAN
EOD-SG-002-T01-20241001,SGP,SG-STR-002,TILL-ALL,2024-10-01,SGP-2024-10,SGD,7522.03,676.97,27.18,3147.89,0.0,1723.04,TRANSFERRED,EMP-SG-10051,CLEAN
EOD-SG-003-T01-20241001,SGP,SG-STR-003,TILL-ALL,2024-10-01,SGP-2024-10,SGD,6502.77,585.25,-8.55,2285.4,0.0,2261.66,TRANSFERRED,EMP-SG-10049,CLEAN
EOD-SG-004-T01-20241001,SGP,SG-STR-004,TILL-ALL,2024-10-01,SGP-2024-10,SGD,7927.81,709.34,-28.1,2281.13,0.0,1214.72,TRANSFERRED,EMP-SG-10045,CLEAN
EOD-SG-005-T01-20241001,SGP,SG-STR-005,TILL-ALL,2024-10-01,SGP-2024-10,SGD,7165.89,644.91,-14.64,1609.94,0.0,1416.15,TRANSFERRED,EMP-SG-10045,CLEAN
EOD-SG-006-T01-20241001,SGP,SG-STR-006,TILL-ALL,2024-10-01,SGP-2024-10,SGD,5705.31,513.47,-20.23,2541.43,0.0,1237.26,TRANSFERRED,EMP-SG-10058,CLEAN
EOD-SG-007-T01-20241001,SGP,SG-STR-007,TILL-ALL,2024-10-01,SGP-2024-10,SGD,5808.91,522.82,-68.95,2102.63,0.0,849.91,TRANSFERRED,EMP-SG-10057,CLEAN
EOD-MY-001-T01-20241002,MYS,MY-STR-001,TILL-ALL,2024-10-02,MYS-2024-10,MYR,56041.15,3362.48,2.12,0.0,2277.91,0.0,TRANSFERRED,EMP-MY-10027,CLEAN
EOD-MY-002-T01-20241002,MYS,MY-STR-002,TILL-ALL,2024-10-02,MYS-2024-10,MYR,20003.98,1200.27,16.3,0.0,2904.38,0.0,TRANSFERRED,EMP-MY-10011,CLEAN
EOD-MY-003-T01-20241002,MYS,MY-STR-003,TILL-ALL,2024-10-02,MYS-2024-10,MYR,19220.33,1153.17,-23.29,0.0,3067.09,0.0,TRANSFERRED,EMP-MY-10017,CLEAN
EOD-MY-004-T01-20241002,MYS,MY-STR-004,TILL-ALL,2024-10-02,MYS-2024-10,MYR,22319.87,1339.22,29.98,0.0,2733.58,0.0,TRANSFERRED,EMP-MY-10021,CLEAN
EOD-MY-005-T01-20241002,MYS,MY-STR-005,TILL-ALL,2024-10-02,MYS-2024-10,MYR,18581.16,1118.95,11.97,0.0,2418.39,0.0,TRANSFERRED,EMP-MY-10025,CLEAN
EOD-MY-006-T01-20241002,MYS,MY-STR-006,TILL-ALL,2024-10-02,MYS-2024-10,MYR,19405.06,1164.29,-11.9,0.0,1239.44,0.0,TRANSFERRED,EMP-MY-10017,CLEAN
EOD-MY-007-T01-20241002,MYS,MY-STR-007,TILL-ALL,2024-10-02,MYS-2024-10,MYR,21060.12,1263.6,18.15,0.0,612.57,0.0,TRANSFERRED,EMP-MY-10022,CLEAN
EOD-MY-008-T01-20241002,MYS,MY-STR-008,TILL-ALL,2024-10-02,MYS-2024-10,MYR,18708.18,1122.51,19.44,0.0,1289.59,0.0,TRANSFERRED,EMP-MY-10019,CLEAN
EOD-SG-001-T01-20241002,SGP,SG-STR-001,TILL-ALL,2024-10-02,SGP-2024-10,SGD,18343.61,1650.89,1.23,3810.08,0.0,3194.7,TRANSFERRED,EMP-SG-10048,CLEAN
